Player,Game Type,Rk,G,Date,Age,Tm,Venue,Opp,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Game
Kareem Abdul Jabbar,Regular Season,29,29,12/10/69,22-238,MIL,,NYK,L (-1),,46:00:00,10,26,0.385,,,,5,7,0.714,,,13,6,,,,3,25,29
Kareem Abdul Jabbar,Regular Season,30,30,12/12/69,22-240,MIL,,SFW,W (+14),,34:00:00,5,14,0.357,,,,3,4,0.75,,,15,3,,,,2,13,30
Kareem Abdul Jabbar,Regular Season,31,31,12/13/69,22-241,MIL,@,ATL,W (+21),,,11,,,,,,2,7,0.286,,,14,4,,,,3,24,31
Kareem Abdul Jabbar,Regular Season,32,32,12/14/69,22-242,MIL,,SDR,W (+13),,39:00:00,13,18,0.722,,,,6,7,0.857,,,7,6,,,,5,32,32
Kareem Abdul Jabbar,Regular Season,33,33,12/17/69,22-245,MIL,@,BOS,W (+18),,42:00:00,14,24,0.583,,,,1,2,0.5,,,12,5,,,,2,29,33
Kareem Abdul Jabbar,Regular Season,34,34,12/19/69,22-247,MIL,,BOS,W (+4),,40:00:00,8,22,0.364,,,,9,11,0.818,,,15,5,,,,6,25,34
Kareem Abdul Jabbar,Regular Season,35,35,12/21/69,22-249,MIL,,PHO,W (+7),,42:00:00,3,13,0.231,,,,7,13,0.538,,,21,5,,,,6,13,35
Kareem Abdul Jabbar,Regular Season,36,36,12/26/69,22-254,MIL,@,DET,W (+13),,38:00:00,11,22,0.5,,,,0,1,0,,,9,4,,,,5,22,36
Kareem Abdul Jabbar,Regular Season,37,37,12/27/69,22-255,MIL,@,CIN,L (-2),,53:00:00,12,27,0.444,,,,5,9,0.556,,,16,4,,,,5,29,37
Kareem Abdul Jabbar,Regular Season,38,38,12/28/69,22-256,MIL,,BAL,W (+9),,40:00:00,14,20,0.7,,,,7,9,0.778,,,12,3,,,,3,35,38
Kareem Abdul Jabbar,Regular Season,39,39,12/30/69,22-258,MIL,@,BAL,W (+2),,48:00:00,12,26,0.462,,,,4,11,0.364,,,20,7,,,,3,28,39
Kareem Abdul Jabbar,Regular Season,40,40,12/31/69,22-259,MIL,,SDR,W (+17),,,15,29,0.517,,,,5,15,0.333,,,19,4,,,,3,35,40
Kareem Abdul Jabbar,Regular Season,41,41,1/2/70,22-261,MIL,,NYK,W (+13),,48:00:00,18,29,0.621,,,,5,5,1,,,16,3,,,,2,41,41
Kareem Abdul Jabbar,Regular Season,42,42,1/4/70,22-263,MIL,,ATL,L (-1),,48:00:00,14,23,0.609,,,,5,13,0.385,,,15,2,,,,3,33,42
Kareem Abdul Jabbar,Regular Season,43,43,1/7/70,22-266,MIL,,CIN,W (+19),,48:00:00,12,22,0.545,,,,3,5,0.6,,,12,6,,,,2,27,43
Kareem Abdul Jabbar,Regular Season,44,44,1/9/70,22-268,MIL,,PHO,W (+4),,45:00:00,11,18,0.611,,,,2,4,0.5,,,10,5,,,,4,24,44
Kareem Abdul Jabbar,Regular Season,45,45,1/10/70,22-269,MIL,,BOS,W (+15),,,9,,,,,,5,7,0.714,,,21,5,,,,1,23,45
Kareem Abdul Jabbar,Regular Season,46,46,1/13/70,22-272,MIL,,CIN,W (+20),,42:00:00,10,17,0.588,,,,8,11,0.727,,,13,3,,,,3,28,46
Kareem Abdul Jabbar,Regular Season,47,47,1/14/70,22-273,MIL,,LAL,W (+2),,48:00:00,18,34,0.529,,,,10,17,0.588,,,24,6,,,,3,46,47
Kareem Abdul Jabbar,Regular Season,48,48,1/17/70,22-276,MIL,,CHI,L (-2),,41:00:00,7,25,0.28,,,,4,5,0.8,,,7,4,,,,5,18,48
Kareem Abdul Jabbar,Regular Season,49,49,1/18/70,22-277,MIL,,SFW,W (+16),,47:00:00,9,15,0.6,,,,5,11,0.455,,,17,8,,,,3,23,49
Kareem Abdul Jabbar,Regular Season,50,50,1/22/70,22-281,MIL,,SDR,W (+9),,47:00:00,9,23,0.391,,,,9,12,0.75,,,19,1,,,,5,27,50
Kareem Abdul Jabbar,Regular Season,51,51,1/24/70,22-283,MIL,,CIN,W (+16),,48:00:00,9,18,0.5,,,,10,15,0.667,,,15,4,,,,4,28,51
Kareem Abdul Jabbar,Regular Season,52,52,1/25/70,22-284,MIL,@,ATL,W (+15),,42:00:00,12,24,0.5,,,,7,13,0.538,,,20,5,,,,4,31,52
Kareem Abdul Jabbar,Regular Season,53,53,1/26/70,22-285,MIL,,PHI,L (-19),,41:00:00,15,31,0.484,,,,4,7,0.571,,,15,4,,,,4,34,53
Kareem Abdul Jabbar,Regular Season,54,54,1/28/70,22-287,MIL,@,CIN,W (+12),,44:00:00,10,18,0.556,,,,13,16,0.813,,,18,6,,,,2,33,54
Kareem Abdul Jabbar,Regular Season,55,55,1/30/70,22-289,MIL,@,CHI,W (+16),,35:00:00,10,15,0.667,,,,7,10,0.7,,,11,5,,,,2,27,55
Kareem Abdul Jabbar,Regular Season,56,56,1/31/70,22-290,MIL,@,PHO,W (+1),,48:00:00,9,14,0.643,,,,6,14,0.429,,,13,6,,,,3,24,56
Kareem Abdul Jabbar,Regular Season,57,57,2/1/70,22-291,MIL,@,SEA,L (-2),,46:00:00,10,26,0.385,,,,5,14,0.357,,,18,3,,,,4,25,57
Kareem Abdul Jabbar,Regular Season,58,58,2/4/70,22-294,MIL,@,SDR,W (+18),,25:00:00,8,14,0.571,,,,2,2,1,,,10,4,,,,6,18,58
Kareem Abdul Jabbar,Regular Season,59,59,2/6/70,22-296,MIL,@,LAL,W (+13),,48:00:00,13,21,0.619,,,,3,9,0.333,,,7,5,,,,3,29,59
Kareem Abdul Jabbar,Regular Season,60,60,2/8/70,22-298,MIL,@,BAL,L (-14),,43:00:00,16,23,0.696,,,,4,6,0.667,,,12,6,,,,3,36,60
Kareem Abdul Jabbar,Regular Season,61,61,2/10/70,22-300,MIL,@,PHI,W (+8),,47:00:00,13,28,0.464,,,,10,12,0.833,,,20,8,,,,3,36,61
Kareem Abdul Jabbar,Regular Season,62,62,2/11/70,22-301,MIL,,PHO,W (+7),,48:00:00,13,19,0.684,,,,6,8,0.75,,,10,5,,,,5,32,62
Kareem Abdul Jabbar,Regular Season,63,63,2/14/70,22-304,MIL,,BOS,W (+10),,,14,,,,,,13,20,0.65,,,12,3,,,,1,41,63
Kareem Abdul Jabbar,Regular Season,64,64,2/15/70,22-305,MIL,,LAL,L (-2),,44:00:00,9,26,0.346,,,,2,7,0.286,,,16,1,,,,5,20,64
Kareem Abdul Jabbar,Regular Season,65,65,2/18/70,22-308,MIL,@,SFW,W (+7),,42:00:00,9,18,0.5,,,,8,9,0.889,,,18,0,,,,5,26,65
Kareem Abdul Jabbar,Regular Season,66,66,2/20/70,22-310,MIL,@,LAL,L (-5),,41:00:00,15,22,0.682,,,,1,4,0.25,,,14,4,,,,3,31,66
